t,i,v_spm,v_ecm,soc
389.0,10.0000,3.98145,3.98083,0.88944
390.0,10.0000,3.98070,3.98015,0.88889
391.0,10.0000,3.97998,3.97951,0.88833
392.0,10.0000,3.97928,3.97889,0.88778
393.0,10.0000,3.97859,3.97831,0.88722
394.0,10.0000,3.97792,3.97774,0.88667
395.0,0.0000,4.07836,4.07241,0.88611
396.0,0.0000,4.07974,4.07341,0.88611
397.0,0.0000,4.08078,4.07434,0.88611
398.0,0.0000,4.08160,4.07521,0.88611
399.0,0.0000,4.08228,4.07602,0.88611
400.0,0.0000,4.08284,4.07679,0.88611
401.0,0.0000,4.08332,4.07750,0.88611
402.0,0.0000,4.08375,4.07818,0.88611
403.0,0.0000,4.08412,4.07880,0.88611
404.0,0.0000,4.08446,4.07939,0.88611
405.0,0.0000,4.08476,4.07994,0.88611
406.0,0.0000,4.08504,4.08046,0.88611
407.0,0.0000,4.08530,4.08094,0.88611
408.0,0.0000,4.08553,4.08140,0.88611
409.0,0.0000,4.08575,4.08182,0.88611
410.0,0.0000,4.08595,4.08222,0.88611
411.0,0.0000,4.08614,4.08259,0.88611
412.0,0.0000,4.08632,4.08294,0.88611
413.0,0.0000,4.08649,4.08327,0.88611
414.0,0.0000,4.08665,4.08358,0.88611
415.0,0.0000,4.08680,4.08387,0.88611
416.0,0.0000,4.08694,4.08414,0.88611
417.0,0.0000,4.08707,4.08439,0.88611
418.0,0.0000,4.08720,4.08463,0.88611
419.0,0.0000,4.08733,4.08485,0.88611
420.0,0.0000,4.08744,4.08506,0.88611
421.0,0.0000,4.08756,4.08526,0.88611
422.0,0.0000,4.08766,4.08544,0.88611
423.0,0.0000,4.08777,4.08561,0.88611
424.0,0.0000,4.08786,4.08578,0.88611
425.0,0.0000,4.08796,4.08593,0.88611
426.0,0.0000,4.08805,4.08607,0.88611
427.0,0.0000,4.08814,4.08621,0.88611
428.0,0.0000,4.08822,4.08633,0.88611
429.0,0.0000,4.08830,4.08645,0.88611
430.0,0.0000,4.08838,4.08656,0.88611
431.0,0.0000,4.08846,4.08667,0.88611
432.0,0.0000,4.08853,4.08677,0.88611
433.0,0.0000,4.08861,4.08686,0.88611
434.0,0.0000,4.08867,4.08695,0.88611
